,Tên xe,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Tỉnh thành,Km đã đi,Quận huyện,Hộp số,Nhiên liệu
10,"

                VinFast VF8 Eco 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hai Bà Trưng
",Hộp số Số tự động,Nhiên liệu Điện
11,"

                VinFast VF e34 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hai Bà Trưng
",Hộp số Số tự động,Nhiên liệu Điện
12,"

                Toyota Vios 1.5E MT 2014
            
",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
An Dương
",Hộp số Số tay,Nhiên liệu Xăng
13,"

                BMW X3 xDrive20i 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 2
",Hộp số Số tự động,Nhiên liệu Xăng
14,"

                Honda City 1.5 L 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
15,"

                Hyundai Accent 1.4 AT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
16,"

                Mercedes-Benz GLS 450 4MATIC 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Bình Tân
",Hộp số Số tự động,Nhiên liệu Xăng
17,"

                Toyota Corolla Cross 1.8 V  2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàn Kiếm
",Hộp số Số tự động,Nhiên liệu Xăng
18,"

                Bentley Flying Spur W12 2013
            
",Năm SX 2013,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 20.000 km,"
Quận huyện
Ba Đình
",Hộp số Số tự động,Nhiên liệu Xăng
19,"

                Hyundai Santa Fe 2.5 Xăng Tiêu Chuẩn 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 20.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
20,"

                Mazda CX-5 2.0 Premium 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 9.900 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
21,"  Ford Ranger XLT 2.0L 4x4 AT Limited 2021
             ",Năm SX 2021,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 15.000 km, Quận huyện Tân Phú ,Hộp số Số tự động,Nhiên liệu Diesel
22,"

                Ford Ranger Raptor 2.0L AT 4x4 2023
            
",Năm SX 2023,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Cao Bằng
",None,"
Quận huyện
Cao Bằng
",Hộp số Số tự động,Nhiên liệu Diesel
23,"

                Mazda 3 Sedan 1.5L Luxury 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 2.900 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
24,"

                Toyota Corolla Cross 1.8 HV 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 20.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Hybrid
25,"  Audi Q7 3.0 TFSI Quattro 2011
             ",Năm SX 2011,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 76.000 km, Quận huyện Bình Thạnh ,Hộp số Số tự động,Nhiên liệu Xăng
26,"  Kia Cerato  2020
             ",Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hải Dương ,Km đã đi 28.000 km, Quận huyện Chí Linh ,Hộp số Số tự động,Nhiên liệu Xăng
27,"  Toyota Corolla Cross 1.8 V  2020
             ",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 25.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
28,"

                Mercedes-Benz EQS 450 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Bình Tân
",Hộp số Số tự động,Nhiên liệu Điện
29,"

                Lexus RX 350 2013
            
",Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bình Dương
",Km đã đi 70.000 km,"
Quận huyện
Thủ Dầu Một
",Hộp số Số tự động,Nhiên liệu Xăng
30,"

                Kia K3 1.6AT 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 70.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
31,"

                Toyota Vios  2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 5.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Xăng
32,"

                Kia Sorento Signature AWD Diesel (6 ghế) 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Diesel
33,"

                Kia Seltos 1.4 Luxury 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
34,"

                Mazda 6 2.0 Premium 2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 36.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
35,"

                Audi A6 2011
            
",Năm SX 2011,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Bình Dương
",Km đã đi 80.000 km,"
Quận huyện
Dầu Tiếng
",Hộp số Số tự động,Nhiên liệu Xăng
36,"

                Kia Sonet 1.5 Luxury 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
37,"

                Toyota Vios 1.5 E CVT 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 190.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
38,"  Honda Civic 1.5 G 2022
             ",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 12.000 km, Quận huyện Quận 10 ,Hộp số Số tự động,Nhiên liệu Xăng
39,"

                Mitsubishi Xpander AT Premium 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
40,"

                Ford Ranger Wildtrak 3.2 4x4 AT 2017
            
",Năm SX 2017,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Đà Nẵng
",Km đã đi 51.000 km,"
Quận huyện
Cẩm Lệ
",Hộp số Số tự động,Nhiên liệu Diesel
41,"

                Ford Ranger Raptor 2.0L AT 4x4 2020
            
",Năm SX 2020,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Đà Nẵng
",Km đã đi 38.000 km,"
Quận huyện
Cẩm Lệ
",Hộp số Số tự động,Nhiên liệu Diesel
42,"

                Mitsubishi Triton GLX 2.5 AT 4x2 2019
            
",Năm SX 2019,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 68.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
43,"

                Lexus LX 600 Ultra Luxury 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
44,"

                Lexus LX 600 Urban 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
45,"  Hyundai Elantra   2.0 AT 2020
             ",Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,Km đã đi 31.000 km, Quận huyện Thủ Đức ,Hộp số Số tự động,Nhiên liệu Xăng
46,"

                MG 5 LUX 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 4
",Hộp số Số tự động,Nhiên liệu Xăng
47,"

                Toyota Vios 2009
            
",Năm SX 2009,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 12.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Xăng
48,"

                Mercedes-Benz GLC 200 V1 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 400 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
49,"

                Toyota Innova 2.0E 2016
            
",Năm SX 2016,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 88.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Xăng
50,"

                VinFast LUX SA2.0 Cao cấp 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Đà Nẵng
",Km đã đi 18.000 km,"
Quận huyện
Cẩm Lệ
",Hộp số Số tự động,Nhiên liệu Xăng
51,"

                Hyundai Accent 1.4 MT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Nam Định
",None,"
Quận huyện
Giao Thủy
",Hộp số Số tay,Nhiên liệu Xăng
52,"

                Suzuki XL7 GLX 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 18.000 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
53,"

                Mitsubishi Outlander 2.0 CVT 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
54,"  Mitsubishi Triton 4x2 AT Mivec 2023
             ",Năm SX 2023,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hưng Yên ,None, Quận huyện Mỹ Hào ,Hộp số Số tự động,Nhiên liệu Xăng
55,"

                Mitsubishi Xpander AT Premium 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
56,"

                Mercedes-Benz GLC 300 4MATIC V1 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 1.500 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
57,"  MG 5 STD 2022
             ",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 4 ,Hộp số Số tự động,Nhiên liệu Xăng
58,"

                Subaru BRZ 2.4 AT EyeSight 2022
            
",Năm SX 2022,Kiểu dáng Sport Car,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Gò Vấp
",Hộp số Số tự động,Nhiên liệu Xăng
59,"

                Ford Ranger Wildtrak 3.2 4x4 AT 2017
            
",Năm SX 2017,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 6.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
60,"

                Kia Cerato 2.0 AT Premium 2018
            
",Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 40.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
61,"

                VinFast LUX A2.0 Cao cấp 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Đà Nẵng
",Km đã đi 15.000 km,"
Quận huyện
Cẩm Lệ
",Hộp số Số tự động,Nhiên liệu Xăng
62,"

                Mitsubishi Triton 4x2 at  2021
            
",Năm SX 2021,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 40.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Diesel
63,"

                Mitsubishi Triton 4x4 AT Mivec 2018
            
",Năm SX 2018,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 86.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
64,"

                Mercedes-Benz C200 Avantgarde Plus 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 550 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
65,"

                Mazda 6 2.0L Premium 2018
            
",Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 65.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
66,"

                VinFast LUX A2.0 Cao cấp 2020
            
",Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 16.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
67,"

                Mazda 3 Sedan 1.5L Luxury 2020
            
",Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 16.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
68,"

                Mitsubishi Attrage 1.2L MT 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bình Dương
",Km đã đi 19.000 km,"
Quận huyện
Dĩ An
",Hộp số Số tay,Nhiên liệu Xăng
69,"

                Hyundai Kona 1.6 Turbo 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 26.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
70,"

                Toyota Innova 2011
            
",Năm SX 2011,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
An Lão
",Hộp số Số tay,Nhiên liệu Xăng
71,"

                Hyundai Elantra GLS 1.6 AT 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Vĩnh Phúc
",Km đã đi 28.000 km,"
Quận huyện
Bình Xuyên
",Hộp số Số tự động,Nhiên liệu Xăng
72,"

                Mazda CX-5 2.0 Luxury 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 18.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
73,"

                Toyota Corolla Altis 1.8G MT 2008
            
",Năm SX 2008,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 140.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tay,Nhiên liệu Xăng
74,"

                Toyota Camry 2.5Q 2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 78.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
75,"

                Ford Everest Titanium 2.0 AT 4x2 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 32.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Diesel
76,"

                Land Rover Range Rover 2010
            
",Năm SX 2010,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 100.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
77,"

                Hyundai Accent 1.4 MT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hải Dương
",None,"
Quận huyện
Hải Dương
",Hộp số Số tay,Nhiên liệu Xăng
78,"

                Toyota Fortuner  2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 12.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Diesel
79,"

                Hyundai Creta 1.5L Tiêu chuẩn 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
80,"  Mitsubishi Xpander AT Premium 2023
             ",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hưng Yên ,None, Quận huyện Ân Thi ,Hộp số Số tự động,Nhiên liệu Xăng
81,"

                Kia Cerato 1.6 AT 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 80.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
82,"

                Hyundai Santa Fe 2.4L Xăng cao cấp 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
83,"

                Mitsubishi Xpander 1.5 AT  2019
            
",Năm SX 2019,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 50.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
84,"

                Hyundai Grand i10 Hatchback 1.2 AT 2023
            
",Năm SX 2023,Kiểu dáng Hatchback,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
85,"

                Kia Seltos 1.6 Premium 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bắc Ninh
",Km đã đi 15.000 km,"
Quận huyện
Thuận Thành
",Hộp số Số tự động,Nhiên liệu Xăng
86,"

                Lexus LS 460 L 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 60.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
87,"

                Mazda 3 1.5L Luxury 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 20.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
88,"

                Mazda 6 2.5 at 2018
            
",Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 46.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
89,"

                Mazda 3 1.5L Luxury 2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Vĩnh Phúc
",Km đã đi 40.000 km,"
Quận huyện
Bình Xuyên
",Hộp số Số tự động,Nhiên liệu Xăng
90,"  Mazda 3 1.5L Luxury 2019
             ",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Vĩnh Phúc ,Km đã đi 40.000 km, Quận huyện Bình Xuyên ,Hộp số Số tự động,Nhiên liệu Xăng
91,"

                Peugeot 2008 GT Line 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 17.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
92,"  Volvo XC90 T6 Inscription 2019
             ",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 50.000 km, Quận huyện Ba Đình ,Hộp số Số tự động,Nhiên liệu Xăng
93,"

                Mazda 6 2.0 AT 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 70.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
